City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Port Hardy,CA,57.38,mist,50.6996,-127.4199,Airport Inn-Port Hardy
9,Port Elizabeth,ZA,61.09,overcast clouds,-33.918,25.5701,39 On Nile Guest House
10,Aljezur,PT,66.92,scattered clouds,37.3191,-8.8033,Amazigh Hostel
16,Albany,US,57.58,clear sky,42.6001,-73.9662,
20,Carnarvon,AU,63.86,clear sky,-24.8667,113.6333,Hospitality Carnarvon
22,Bagrami,AF,67.8,clear sky,34.4938,69.2743,SH++ZA
28,Yellowknife,CA,57.72,few clouds,62.456,-114.3525,The Explorer Hotel
33,Jamestown,US,55.02,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
38,La Ronge,CA,66.42,broken clouds,55.1001,-105.2842,Northland Motor Hotel
39,Mar Del Plata,AR,61.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
46,Osterholz-Scharmbeck,DE,55.81,moderate rain,53.2333,8.8,Hotel Tivoli
53,Pisco,PE,64.45,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
59,Cape Town,ZA,56.91,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
63,Port Alfred,ZA,60.19,overcast clouds,-33.5906,26.891,The Halyards Hotel
65,Abu Samrah,SY,69.08,clear sky,35.3029,37.1841,
75,Zhezkazgan,KZ,67.48,clear sky,47.8043,67.7144,Hotel Zumrat
78,Watsa,CD,63.19,light rain,3.0372,29.5355,Hôtel Le Pacifique
81,Rio Grande,BR,64.51,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
86,Ilo,PE,59.86,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
87,Namibe,AO,63.68,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
90,Crotone,IT,66.15,clear sky,39.0851,17.1178,Helios Hotel
92,Goderich,CA,57.9,clear sky,43.7501,-81.7165,Harmony Inn
93,Syke,DE,57.02,clear sky,52.9,8.8333,ReVital & Wohlfühlhotel Steimker Hof
95,Pomabamba,PE,63.97,broken clouds,-8.8333,-77.4667,VIVIENDA - ELSA CABELLO
101,Oktyabrskiy,RU,67.19,overcast clouds,54.4815,53.471,Гостиница Октябрьская
102,Saint-Augustin,CA,57.2,overcast clouds,51.226,-58.6502,Riverview Inn
104,Arraial Do Cabo,BR,69.66,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
105,Yatou,CN,55.04,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
106,Richards Bay,ZA,68.38,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
112,Petropavl,KZ,60.6,overcast clouds,54.8753,69.1628,Отель GREENWICH
114,Cidreira,BR,58.93,clear sky,-30.1811,-50.2056,Hotel Castelo
115,Fortuna,US,69.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
116,Liverpool,GB,57.09,few clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
120,Constitucion,CL,58.08,moderate rain,-35.3333,-72.4167,Hotel Boutique Las Azucenas
123,Bud,US,66.15,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
142,Torbay,CA,62.76,overcast clouds,47.6666,-52.7314,Gallows Cove
154,Wiarton,CA,61.03,few clouds,44.7407,-81.1332,Waterview On The Bay
155,Mount Isa,AU,65.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
156,Palmer,US,59.07,scattered clouds,42.1584,-72.3287,Wedgewood Motel
161,Balkhash,KZ,65.23,clear sky,46.844,74.9804,Family
162,Kruisfontein,ZA,55.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
166,Pavlovka,RU,62.47,light rain,52.6897,47.1405,Rus'
167,Guangyuan,CN,60.73,overcast clouds,32.442,105.823,Guangyuan Poetry Hotel
170,Mosquera,CO,64.49,thunderstorm,4.7059,-74.2302,Hotel SJ
171,Thompson,CA,68.16,few clouds,55.7435,-97.8558,Burntwood Hotel
178,Komsomolskiy,UZ,68.72,clear sky,40.4272,71.7189,Ikathouse
182,Santiago,CL,69.55,broken clouds,-33.4569,-70.6483,Hotel Panamericano
187,Antofagasta,CL,60.08,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
