City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Bolitoc,15.7395,119.8769,77.83,81,58,3.67,PH,2022-09-23 20:29:55,broken clouds
1,Port Hardy,50.6996,-127.4199,57.38,94,100,3.44,CA,2022-09-23 20:29:56,mist
2,Vaini,-21.2,-175.2,77.16,83,75,9.22,TO,2022-09-23 20:29:56,broken clouds
3,Mataura,-46.1927,168.8643,49.48,95,100,0.96,NZ,2022-09-23 20:29:56,overcast clouds
4,Punta Arenas,-53.15,-70.9167,51.91,50,75,14.97,CL,2022-09-23 20:29:57,broken clouds
5,Tuktoyaktuk,69.4541,-133.0374,37.4,81,100,9.22,CA,2022-09-23 20:29:57,overcast clouds
6,Valdepenas,38.7621,-3.3848,70.84,26,21,4.36,ES,2022-09-23 20:29:58,few clouds
7,Rikitea,-23.1203,-134.9692,70.95,74,20,12.93,PF,2022-09-23 20:29:58,few clouds
8,Grindavik,63.8424,-22.4338,48.67,87,75,9.22,IS,2022-09-23 20:29:58,broken clouds
9,Port Elizabeth,-33.918,25.5701,61.09,76,100,8.05,ZA,2022-09-23 20:29:59,overcast clouds
10,Aljezur,37.3191,-8.8033,66.92,84,39,10.89,PT,2022-09-23 20:29:59,scattered clouds
11,Hilo,19.7297,-155.09,86.29,80,100,7.0,US,2022-09-23 20:28:02,overcast clouds
12,Kaspiysk,42.8816,47.6392,71.78,64,48,15.99,RU,2022-09-23 20:29:59,scattered clouds
13,Adrar,20.5022,-10.0711,95.85,30,27,11.3,MR,2022-09-23 20:30:00,scattered clouds
14,Georgetown,5.4112,100.3354,77.95,93,20,0.0,MY,2022-09-23 20:28:10,few clouds
15,Fukue,32.6881,128.8419,71.08,66,73,18.14,JP,2022-09-23 20:30:00,broken clouds
16,Albany,42.6001,-73.9662,57.58,51,0,5.01,US,2022-09-23 20:25:06,clear sky
17,Broome,42.2506,-75.833,52.86,63,75,17.27,US,2022-09-23 20:29:36,broken clouds
18,Kahului,20.8947,-156.47,87.82,60,20,8.01,US,2022-09-23 20:30:01,few clouds
19,Presidencia Roque Saenz Pena,-26.7852,-60.4388,75.24,20,0,8.05,AR,2022-09-23 20:30:03,clear sky
20,Carnarvon,-24.8667,113.6333,63.86,71,0,17.98,AU,2022-09-23 20:30:03,clear sky
21,Puerto Ayora,-0.7393,-90.3518,75.16,90,98,7.0,EC,2022-09-23 20:30:06,overcast clouds
